title,category,price_gbp,price_inr,rating,in_stock
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)","
Sequential Art
",,,3,True
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)","
Sequential Art
",,,5,True
Princess Between Worlds (Wide-Awake Princess #5),"
Fantasy
",,,5,True
"Pop Gun War, Volume 1: Gift","
Sequential Art
",,,1,True
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics","
History
",,,2,True
Patience,"
Sequential Art
",,,3,True
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)","
Sequential Art
",,,4,True
orange: The Complete Collection 1 (orange: The Complete Collection #1),"
Sequential Art
",,,1,True
Online Marketing for Busy Authors: A Step-By-Step Guide,"
Self Help
",,,1,True
On a Midnight Clear,"
Add a comment
",,,3,True
Obsidian (Lux #1),"
Young Adult
",,,2,True
My Paris Kitchen: Recipes and Stories,"
Food and Drink
",,,2,True
Masks and Shadows,"
Fantasy
",,,2,True
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed","
Food and Drink
",,,4,True
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)","
Sequential Art
",,,2,True
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)","
Sequential Art
",,,3,True
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),"
Sequential Art
",,,2,True
"Layered: Baking, Building, and Styling Spectacular Cakes","
Food and Drink
",,,1,True
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),"
Add a comment
",,,2,True
Join,"
Science Fiction
",,,5,True
In the Country We Love: My Family Divided,"
Nonfiction
",,,4,True
